country,year,obesity_percent
GBR,1980,6.9312267
GBR,1981,7.342954
GBR,1982,7.7761635
GBR,1983,8.2300648
GBR,1984,8.7041967
GBR,1985,9.197484
GBR,1986,9.7102359
GBR,1987,10.241032
GBR,1988,10.800506
GBR,1989,11.38875
GBR,1990,11.997949
GBR,1991,12.632273
GBR,1992,13.287596
GBR,1993,13.964356
GBR,1994,14.664634
GBR,1995,15.380882
GBR,1996,16.109885
GBR,1997,16.848351
GBR,1998,17.587416
GBR,1999,18.323508
GBR,2000,19.052178
GBR,2001,19.765024
GBR,2002,20.448454
GBR,2003,21.099864
GBR,2004,21.711572
GBR,2005,22.279939
GBR,2006,22.802421
GBR,2007,23.278324
GBR,2008,23.707846
GBR,2009,24.085782
GBR,2010,24.412549
GBR,2011,24.689044
GBR,2012,24.93128
GBR,2013,25.159544
GBR,2014,25.38231
GBR,2015,25.606212
GBR,2016,25.83161
GBR,2017,26.049939
GBR,2018,26.253468
GBR,2019,26.443917
GBR,2020,26.628038
GBR,2021,26.809931
GBR,2022,26.993641
GBR,2023,27.182329
GBR,2024,27.378094
NGA,1980,1.2778858
NGA,1981,1.3518246
NGA,1982,1.4321202
NGA,1983,1.5194141
NGA,1984,1.6134178
NGA,1985,1.7150601
NGA,1986,1.825073
NGA,1987,1.9442318
NGA,1988,2.0731576
NGA,1989,2.2134975
NGA,1990,2.3662899
NGA,1991,2.5333006
NGA,1992,2.7153103
NGA,1993,2.9131288
NGA,1994,3.1287886
NGA,1995,3.3642244
NGA,1996,3.6213256
NGA,1997,3.9006542
NGA,1998,4.2028569
NGA,1999,4.5269411
NGA,2000,4.8684336
NGA,2001,5.2229702
NGA,2002,5.5876363
NGA,2003,5.957941
NGA,2004,6.3284323
NGA,2005,6.6945188
NGA,2006,7.0514478
NGA,2007,7.3940009
NGA,2008,7.7176087
NGA,2009,8.0201723
NGA,2010,8.3032347
NGA,2011,8.5706793
NGA,2012,8.8346921
NGA,2013,9.108524
NGA,2014,9.4041742
NGA,2015,9.7264245
NGA,2016,10.07652
NGA,2017,10.451246
NGA,2018,10.849535
NGA,2019,11.27115
NGA,2020,11.716606
NGA,2021,12.180027
NGA,2022,12.660767
NGA,2023,13.157408
NGA,2024,13.670389
USA,1980,12.095007
USA,1981,12.671329
USA,1982,13.269253
USA,1983,13.887522
USA,1984,14.524826
USA,1985,15.177032
USA,1986,15.843898
USA,1987,16.525789
USA,1988,17.227253
USA,1989,17.950924
USA,1990,18.698391
USA,1991,19.472007
USA,1992,20.270315
USA,1993,21.094289
USA,1994,21.944962
USA,1995,22.820497
USA,1996,23.720007
USA,1997,24.643196
USA,1998,25.578776
USA,1999,26.526889
USA,2000,27.486113
USA,2001,28.448036
USA,2002,29.401004
USA,2003,30.337238
USA,2004,31.251347
USA,2005,32.136202
USA,2006,32.982829
USA,2007,33.785254
USA,2008,34.536365
USA,2009,35.221815
USA,2010,35.838449
USA,2011,36.3897
USA,2012,36.885589
USA,2013,37.349939
USA,2014,37.790859
USA,2015,38.210881
USA,2016,38.611826
USA,2017,38.98305
USA,2018,39.317736
USA,2019,39.621213
USA,2020,39.903304
USA,2021,40.174067
USA,2022,40.434778
USA,2023,40.696454
USA,2024,40.958548
ZAF,1980,10.657622
ZAF,1981,11.036117
ZAF,1982,11.430983
ZAF,1983,11.842892
ZAF,1984,12.271043
ZAF,1985,12.715136
ZAF,1986,13.176931
ZAF,1987,13.656925
ZAF,1988,14.155771
ZAF,1989,14.672668
ZAF,1990,15.20503
ZAF,1991,15.759723
ZAF,1992,16.422822
ZAF,1993,16.859403
ZAF,1994,17.547061
ZAF,1995,18.606895
ZAF,1996,19.609572
ZAF,1997,20.518887
ZAF,1998,21.194091
ZAF,1999,21.874058
ZAF,2000,22.555171
ZAF,2001,23.228775
ZAF,2002,23.884031
ZAF,2003,24.525005
ZAF,2004,25.152931
ZAF,2005,25.75449
ZAF,2006,26.321095
ZAF,2007,26.843989
ZAF,2008,27.31325
ZAF,2009,27.718195
ZAF,2010,28.06367
ZAF,2011,28.364044
ZAF,2012,28.616711
ZAF,2013,28.837162
ZAF,2014,29.06056
ZAF,2015,29.275212
ZAF,2016,29.556504
ZAF,2017,29.848313
ZAF,2018,30.076391
ZAF,2019,30.317634
ZAF,2020,30.571729
ZAF,2021,30.839062
ZAF,2022,31.133828
ZAF,2023,31.448585
ZAF,2024,31.778654
